Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8626262626262626,0.5925925925925926,0.1672473867595819,0.2608695652173913
Random Forest,0.8560606060606061,0.5104166666666666,0.17073170731707318,0.2558746736292428
XGBoost,0.8484848484848485,0.44881889763779526,0.1986062717770035,0.2753623188405797
